Name,Type_1,Type_2,Pokedex_Entry,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Abilities,Ability_1,Ability_2,Hidden_Ability
Dwebble,Bug,Rock,0557,325,50,65,85,35,35,55,"Sturdy, Shell Armor, Weak Armor",Sturdy,Shell Armor,Weak Armor
Crustle,Bug,Rock,0558,485,70,105,125,65,75,45,"Sturdy, Shell Armor, Weak Armor",Sturdy,Shell Armor,Weak Armor
Scraggy,Dark,Fighting,0559,348,50,75,70,35,70,48,"Shed Skin, Moxie, Intimidate",Shed Skin,Moxie,Intimidate
Scrafty,Dark,Fighting,0560,488,65,90,115,45,115,58,"Shed Skin, Moxie, Intimidate",Shed Skin,Moxie,Intimidate
Sigilyph,Psychic,Flying,0561,490,72,58,80,103,80,97,"Wonder Skin , Magic Guard, Tinted Lens",Wonder Skin ,Magic Guard,Tinted Lens
Yamask,Ghost,,0562,303,38,30,85,55,65,30,Mummy,Mummy,,
Yamask Galarian Yamask,Ground,Ghost,0562,303,38,55,85,30,65,30,Wandering Spirit,Wandering Spirit,,
Cofagrigus,Ghost,,0563,483,58,50,145,95,105,30,Mummy,Mummy,,
Tirtouga,Water,Rock,0564,355,54,78,103,53,45,22,"Solid Rock, Sturdy, Swift Swim",Solid Rock,Sturdy,Swift Swim
Carracosta,Water,Rock,0565,495,74,108,133,83,65,32,"Solid Rock, Sturdy, Swift Swim",Solid Rock,Sturdy,Swift Swim
Archen,Rock,Flying,0566,401,55,112,45,74,45,70,Defeatist,Defeatist,,
Archeops,Rock,Flying,0567,567,75,140,65,112,65,110,Defeatist,Defeatist,,
Trubbish,Poison,,0568,329,50,50,62,40,62,65,"Stench, Sticky Hold, Aftermath",Stench,Sticky Hold,Aftermath
Garbodor,Poison,,0569,474,80,95,82,60,82,75,"Stench, Weak Armor, Aftermath",Stench,Weak Armor,Aftermath
Zorua,Dark,,0570,330,40,65,40,80,40,65,Illusion,Illusion,,
Zorua Hisuian Zorua,Normal,Ghost,0570,330,35,60,40,85,40,70,Illusion,Illusion,,
Zoroark,Dark,,0571,510,60,105,60,120,60,105,Illusion,Illusion,,
Zoroark Hisuian Zoroark,Normal,Ghost,0571,510,55,100,60,125,60,110,Illusion,Illusion,,
Minccino,Normal,,0572,300,55,50,40,40,40,75,"Cute Charm, Technician, Skill Link",Cute Charm,Technician,Skill Link
Cinccino,Normal,,0573,470,75,95,60,65,60,115,"Cute Charm, Technician, Skill Link",Cute Charm,Technician,Skill Link
Gothita,Psychic,,0574,290,45,30,50,55,65,45,"Frisk, Competitive, Shadow Tag",Frisk,Competitive,Shadow Tag
Gothorita,Psychic,,0575,390,60,45,70,75,85,55,"Frisk, Competitive, Shadow Tag",Frisk,Competitive,Shadow Tag
Gothitelle,Psychic,,0576,490,70,55,95,95,110,65,"Frisk, Competitive, Shadow Tag",Frisk,Competitive,Shadow Tag
Solosis,Psychic,,0577,290,45,30,40,105,50,20,"Overcoat, Magic Guard, Regenerator",Overcoat,Magic Guard,Regenerator
Duosion,Psychic,,0578,370,65,40,50,125,60,30,"Overcoat, Magic Guard, Regenerator",Overcoat,Magic Guard,Regenerator
Reuniclus,Psychic,,0579,490,110,65,75,125,85,30,"Overcoat, Magic Guard, Regenerator",Overcoat,Magic Guard,Regenerator
Ducklett,Water,Flying,0580,305,62,44,50,44,50,55,"Keen Eye, Big Pecks, Hydration",Keen Eye,Big Pecks,Hydration
Swanna,Water,Flying,0581,473,75,87,63,87,63,98,"Keen Eye, Big Pecks, Hydration",Keen Eye,Big Pecks,Hydration
Vanillite,Ice,,0582,305,36,50,50,65,60,44,"Ice Body, Snow Cloak, Weak Armor",Ice Body,Snow Cloak,Weak Armor
Vanillish,Ice,,0583,395,51,65,65,80,75,59,"Ice Body, Snow Cloak, Weak Armor",Ice Body,Snow Cloak,Weak Armor
Vanilluxe,Ice,,0584,535,71,95,85,110,95,79,"Ice Body, Snow Warning, Weak Armor",Ice Body,Snow Warning,Weak Armor
Deerling,Normal,Grass,0585,335,60,60,50,40,50,75,"Chlorophyll, Sap Sipper, Serene Grace",Chlorophyll,Sap Sipper,Serene Grace
Sawsbuck,Normal,Grass,0586,475,80,100,70,60,70,95,"Chlorophyll, Sap Sipper, Serene Grace",Chlorophyll,Sap Sipper,Serene Grace
Emolga,Electric,Flying,0587,428,55,75,60,75,60,103,"Static, Motor Drive",Static,,Motor Drive
Karrablast,Bug,,0588,315,50,75,45,40,45,60,"Swarm, Shed Skin, No Guard",Swarm,Shed Skin,No Guard
Escavalier,Bug,Steel,0589,495,70,135,105,60,105,20,"Swarm, Shell Armor, Overcoat",Swarm,Shell Armor,Overcoat
Foongus,Grass,Poison,0590,294,69,55,45,55,55,15,"Effect Spore, Regenerator",Effect Spore,,Regenerator
Amoonguss,Grass,Poison,0591,464,114,85,70,85,80,30,"Effect Spore, Regenerator",Effect Spore,,Regenerator
Frillish,Water,Ghost,0592,335,55,40,50,65,85,40,"Water Absorb, Cursed Body, Damp",Water Absorb,Cursed Body,Damp
Jellicent,Water,Ghost,0593,480,100,60,70,85,105,60,"Water Absorb, Cursed Body, Damp",Water Absorb,Cursed Body,Damp
Alomomola,Water,,0594,470,165,75,80,40,45,65,"Healer, Hydration, Regenerator",Healer,Hydration,Regenerator
Joltik,Bug,Electric,0595,319,50,47,50,57,50,65,"Compoundeyes, Unnerve, Swarm",Compoundeyes,Unnerve,Swarm
Galvantula,Bug,Electric,0596,472,70,77,60,97,60,108,"Compoundeyes, Unnerve, Swarm",Compoundeyes,Unnerve,Swarm
Ferroseed,Grass,Steel,0597,305,44,50,91,24,86,10,Iron Barbs,Iron Barbs,,
Ferrothorn,Grass,Steel,0598,489,74,94,131,54,116,20,"Iron Barbs, Anticipation",Iron Barbs,,Anticipation
Klink,Steel,,0599,300,40,55,70,45,60,30,"Plus, Minus, Clear Body",Plus,Minus,Clear Body
Klang,Steel,,0600,440,60,80,95,70,85,50,"Plus, Minus, Clear Body",Plus,Minus,Clear Body
Klinklang,Steel,,0601,520,60,100,115,70,85,90,"Plus, Minus, Clear Body",Plus,Minus,Clear Body
Tynamo,Electric,,0602,275,35,55,40,45,40,60,Levitate,Levitate,,
Eelektrik,Electric,,0603,405,65,85,70,75,70,40,Levitate,Levitate,,
Eelektross,Electric,,0604,515,85,115,80,105,80,50,Levitate,Levitate,,
Elgyem,Psychic,,0605,335,55,55,55,85,55,30,"Telepathy, Synchronize, Analytic",Telepathy,Synchronize,Analytic
Beheeyem,Psychic,,0606,485,75,75,75,125,95,40,"Telepathy, Synchronize, Analytic",Telepathy,Synchronize,Analytic
Litwick,Ghost,Fire,0607,275,50,30,55,65,55,20,"Flash Fire, Flame Body, Infiltrator",Flash Fire,Flame Body,Infiltrator
Lampent,Ghost,Fire,0608,370,60,40,60,95,60,55,"Flash Fire, Flame Body, Infiltrator",Flash Fire,Flame Body,Infiltrator
Chandelure,Ghost,Fire,0609,520,60,55,90,145,90,80,"Flash Fire, Flame Body, Infiltrator",Flash Fire,Flame Body,Infiltrator
Axew,Dragon,,0610,320,46,87,60,30,40,57,"Rivalry, Mold Breaker, Unnerve",Rivalry,Mold Breaker,Unnerve
Fraxure,Dragon,,0611,410,66,117,70,40,50,67,"Rivalry, Mold Breaker, Unnerve",Rivalry,Mold Breaker,Unnerve
Haxorus,Dragon,,0612,540,76,147,90,60,70,97,"Rivalry, Mold Breaker, Unnerve",Rivalry,Mold Breaker,Unnerve
Cubchoo,Ice,,0613,305,55,70,40,60,40,40,"Snow Cloak, Slush Rush, Rattled",Snow Cloak,Slush Rush,Rattled
Beartic,Ice,,0614,505,95,130,80,70,80,50,"Snow Cloak, Slush Rush, Swift Swim",Snow Cloak,Slush Rush,Swift Swim
Cryogonal,Ice,,0615,515,80,50,50,95,135,105,Levitate,Levitate,,
Shelmet,Bug,,0616,305,50,40,85,40,65,25,"Hydration, Shell Armor, Overcoat",Hydration,Shell Armor,Overcoat
Accelgor,Bug,,0617,495,80,70,40,100,60,145,"Hydration, Sticky Hold, Unburden",Hydration,Sticky Hold,Unburden
Stunfisk,Ground,Electric,0618,471,109,66,84,81,99,32,"Static, Limber, Sand Veil",Static,Limber,Sand Veil
Stunfisk Galarian Stunfisk,Ground,Steel,0618,471,109,81,99,66,84,32,Mimicry,Mimicry,,
Mienfoo,Fighting,,0619,350,45,85,50,55,50,65,"Inner Focus, Regenerator, Reckless",Inner Focus,Regenerator,Reckless
Mienshao,Fighting,,0620,510,65,125,60,95,60,105,"Inner Focus, Regenerator, Reckless",Inner Focus,Regenerator,Reckless
Druddigon,Dragon,,0621,485,77,120,90,60,90,48,"Rough Skin, Sheer Force, Mold Breaker",Rough Skin,Sheer Force,Mold Breaker
Golett,Ground,Ghost,0622,303,59,74,50,35,50,35,"Iron Fist, Klutz, No Guard",Iron Fist,Klutz,No Guard
Golurk,Ground,Ghost,0623,483,89,124,80,55,80,55,"Iron Fist, Klutz, No Guard",Iron Fist,Klutz,No Guard
Pawniard,Dark,Steel,0624,340,45,85,70,40,40,60,"Defiant, Inner Focus, Pressure",Defiant,Inner Focus,Pressure
Bisharp,Dark,Steel,0625,490,65,125,100,60,70,70,"Defiant, Inner Focus, Pressure",Defiant,Inner Focus,Pressure
Bouffalant,Normal,,0626,490,95,110,95,40,95,55,"Reckless, Sap Sipper, Soundproof",Reckless,Sap Sipper,Soundproof
Rufflet,Normal,Flying,0627,350,70,83,50,37,50,60,"Keen Eye, Sheer Force, Hustle",Keen Eye,Sheer Force,Hustle
Braviary,Normal,Flying,0628,510,100,123,75,57,75,80,"Keen Eye, Sheer Force, Defiant",Keen Eye,Sheer Force,Defiant
Braviary Hisuian Braviary,Psychic,Flying,0628,510,110,83,70,112,70,65,"Keen Eye, Sheer Force, Tinted Lens",Keen Eye,Sheer Force,Tinted Lens
Vullaby,Dark,Flying,0629,370,70,55,75,45,65,60,"Big Pecks, Overcoat, Weak Armor",Big Pecks,Overcoat,Weak Armor
Mandibuzz,Dark,Flying,0630,510,110,65,105,55,95,80,"Big Pecks, Overcoat, Weak Armor",Big Pecks,Overcoat,Weak Armor
Heatmor,Fire,,0631,484,85,97,66,105,66,65,"Gluttony, Flash Fire, White Smoke",Gluttony,Flash Fire,White Smoke
Durant,Bug,Steel,0632,484,58,109,112,48,48,109,"Swarm, Hustle, Truant",Swarm,Hustle,Truant
Deino,Dark,Dragon,0633,300,52,65,50,45,50,38,Hustle,Hustle,,
Zweilous,Dark,Dragon,0634,420,72,85,70,65,70,58,Hustle,Hustle,,
Hydreigon,Dark,Dragon,0635,600,92,105,90,125,90,98,Levitate,Levitate,,
Larvesta,Bug,Fire,0636,360,55,85,55,50,55,60,"Flame Body, Swarm",Flame Body,,Swarm
Volcarona,Bug,Fire,0637,550,85,60,65,135,105,100,"Flame Body, Swarm",Flame Body,,Swarm
Cobalion,Steel,Fighting,0638,580,91,90,129,90,72,108,Justified,Justified,,
Terrakion,Rock,Fighting,0639,580,91,129,90,72,90,108,Justified,Justified,,
Virizion,Grass,Fighting,0640,580,91,90,72,90,129,108,Justified,Justified,,
Tornadus Incarnate Forme,Flying,,0641,580,79,115,70,125,80,111,"Prankster, Defiant",Prankster,,Defiant
Tornadus Therian Forme,Flying,,0641,580,79,100,80,110,90,121,Regenerator,Regenerator,,
Thundurus Incarnate Forme,Electric,Flying,0642,580,79,115,70,125,80,111,"Prankster, Defiant",Prankster,,Defiant
Thundurus Therian Forme,Electric,Flying,0642,580,79,105,70,145,80,101,Volt Absorb,Volt Absorb,,
Reshiram,Dragon,Fire,0643,680,100,120,100,150,120,90,Turboblaze,Turboblaze,,
Zekrom,Dragon,Electric,0644,680,100,150,120,120,100,90,Teravolt,Teravolt,,
Landorus Incarnate Forme,Ground,Flying,0645,600,89,125,90,115,80,101,"Sand Force, Sheer Force",Sand Force,,Sheer Force
Landorus Therian Forme,Ground,Flying,0645,600,89,145,90,105,80,91,Intimidate,Intimidate,,
Kyurem,Dragon,Ice,0646,660,125,130,90,130,90,95,Pressure,Pressure,,
Kyurem White Kyurem,Dragon,Ice,0646,700,125,120,90,170,100,95,Turboblaze,Turboblaze,,
Kyurem Black Kyurem,Dragon,Ice,0646,700,125,170,100,120,90,95,Teravolt,Teravolt,,
Keldeo Ordinary Form,Water,Fighting,0647,580,91,72,90,129,90,108,Justified,Justified,,
Keldeo Resolute Form,Water,Fighting,0647,580,91,72,90,129,90,108,Justified,Justified,,
Meloetta Aria Forme,Normal,Psychic,0648,600,100,77,77,128,128,90,Serene Grace,Serene Grace,,
Meloetta Pirouette Forme,Normal,Fighting,0648,600,100,128,90,77,77,128,Serene Grace,Serene Grace,,
Genesect,Bug,Steel,0649,600,71,120,95,120,95,99,Download,Download,,
Chespin,Grass,,0650,313,56,61,65,48,45,38,"Overgrow, Bulletproof",Overgrow,,Bulletproof
Quilladin,Grass,,0651,405,61,78,95,56,58,57,"Overgrow, Bulletproof",Overgrow,,Bulletproof
Chesnaught,Grass,Fighting,0652,530,88,107,122,74,75,64,"Overgrow, Bulletproof",Overgrow,,Bulletproof
Fennekin,Fire,,0653,307,40,45,40,62,60,60,"Blaze, Magician",Blaze,,Magician
Braixen,Fire,,0654,409,59,59,58,90,70,73,"Blaze, Magician",Blaze,,Magician
Delphox,Fire,Psychic,0655,534,75,69,72,114,100,104,"Blaze, Magician",Blaze,,Magician
Froakie,Water,,0656,314,41,56,40,62,44,71,"Torrent, Protean",Torrent,,Protean
Frogadier,Water,,0657,405,54,63,52,83,56,97,"Torrent, Protean",Torrent,,Protean
Greninja,Water,Dark,0658,530,72,95,67,103,71,122,"Torrent, Protean",Torrent,,Protean
Greninja Ash-Greninja,Water,Dark,0658,640,72,145,67,153,71,132,Battle Bond,Battle Bond,,
Bunnelby,Normal,,0659,237,38,36,38,32,36,57,"Pickup, Cheek Pouch, Huge Power",Pickup,Cheek Pouch,Huge Power
Diggersby,Normal,Ground,0660,423,85,56,77,50,77,78,"Pickup, Cheek Pouch, Huge Power",Pickup,Cheek Pouch,Huge Power
Fletchling,Normal,Flying,0661,278,45,50,43,40,38,62,"Big Pecks, Gale Wings",Big Pecks,,Gale Wings
Fletchinder,Fire,Flying,0662,382,62,73,55,56,52,84,"Flame Body, Gale Wings",Flame Body,,Gale Wings
Talonflame,Fire,Flying,0663,499,78,81,71,74,69,126,"Flame Body, Gale Wings",Flame Body,,Gale Wings
Scatterbug,Bug,,0664,200,38,35,40,27,25,35,"Shield Dust, Compoundeyes, Friend Guard",Shield Dust,Compoundeyes,Friend Guard
Spewpa,Bug,,0665,213,45,22,60,27,30,29,"Shed Skin, Friend Guard",Shed Skin,,Friend Guard
Vivillon,Bug,Flying,0666,411,80,52,50,90,50,89,"Shield Dust, Compoundeyes, Friend Guard",Shield Dust,Compoundeyes,Friend Guard
Litleo,Fire,Normal,0667,369,62,50,58,73,54,72,"Rivalry, Unnerve, Moxie",Rivalry,Unnerve,Moxie
Pyroar,Fire,Normal,0668,507,86,68,72,109,66,106,"Rivalry, Unnerve, Moxie",Rivalry,Unnerve,Moxie
Flabébé,Fairy,,0669,303,44,38,39,61,79,42,"Flower Veil, Symbiosis",Flower Veil,,Symbiosis
Floette,Fairy,,0670,371,54,45,47,75,98,52,"Flower Veil, Symbiosis",Flower Veil,,Symbiosis
Florges,Fairy,,0671,552,78,65,68,112,154,75,"Flower Veil, Symbiosis",Flower Veil,,Symbiosis
Skiddo,Grass,,0672,350,66,65,48,62,57,52,"Sap Sipper, Grass Pelt",Sap Sipper,,Grass Pelt
Gogoat,Grass,,0673,531,123,100,62,97,81,68,"Sap Sipper, Grass Pelt",Sap Sipper,,Grass Pelt
Pancham,Fighting,,0674,348,67,82,62,46,48,43,"Iron Fist, Mold Breaker, Scrappy",Iron Fist,Mold Breaker,Scrappy
Pangoro,Fighting,Dark,0675,495,95,124,78,69,71,58,"Iron Fist, Mold Breaker, Scrappy",Iron Fist,Mold Breaker,Scrappy
Furfrou,Normal,,0676,472,75,80,60,65,90,102,Fur Coat,Fur Coat,,
Espurr,Psychic,,0677,355,62,48,54,63,60,68,"Keen Eye, Infiltrator, Own Tempo",Keen Eye,Infiltrator,Own Tempo
Meowstic Male,Psychic,,0678,466,74,48,76,83,81,104,"Keen Eye, Infiltrator, Prankster",Keen Eye,Infiltrator,Prankster
Meowstic Female,Psychic,,0678,466,74,48,76,83,81,104,"Keen Eye, Infiltrator, Competitive",Keen Eye,Infiltrator,Competitive
Honedge,Steel,Ghost,0679,325,45,80,100,35,37,28,No Guard,No Guard,,
Doublade,Steel,Ghost,0680,448,59,110,150,45,49,35,No Guard,No Guard,,
Aegislash Shield Forme,Steel,Ghost,0681,500,60,50,140,50,140,60,Stance Change,Stance Change,,
Aegislash Blade Forme,Steel,Ghost,0681,500,60,140,50,140,50,60,Stance Change,Stance Change,,
Spritzee,Fairy,,0682,341,78,52,60,63,65,23,"Healer, Aroma Veil",Healer,,Aroma Veil
Aromatisse,Fairy,,0683,462,101,72,72,99,89,29,"Healer, Aroma Veil",Healer,,Aroma Veil
Swirlix,Fairy,,0684,341,62,48,66,59,57,49,"Sweet Veil, Unburden",Sweet Veil,,Unburden
Slurpuff,Fairy,,0685,480,82,80,86,85,75,72,"Sweet Veil, Unburden",Sweet Veil,,Unburden
Inkay,Dark,Psychic,0686,288,53,54,53,37,46,45,"Contrary, Suction Cups, Infiltrator",Contrary,Suction Cups,Infiltrator
Malamar,Dark,Psychic,0687,482,86,92,88,68,75,73,"Contrary, Suction Cups, Infiltrator",Contrary,Suction Cups,Infiltrator
Binacle,Rock,Water,0688,306,42,52,67,39,56,50,"Tough Claws, Sniper, Pickpocket",Tough Claws,Sniper,Pickpocket
Barbaracle,Rock,Water,0689,500,72,105,115,54,86,68,"Tough Claws, Sniper, Pickpocket",Tough Claws,Sniper,Pickpocket
Skrelp,Poison,Water,0690,320,50,60,60,60,60,30,"Poison Point, Poison Touch, Adaptability",Poison Point,Poison Touch,Adaptability
Dragalge,Poison,Dragon,0691,494,65,75,90,97,123,44,"Poison Point, Poison Touch, Adaptability",Poison Point,Poison Touch,Adaptability
Clauncher,Water,,0692,330,50,53,62,58,63,44,Mega Launcher,Mega Launcher,,
Clawitzer,Water,,0693,500,71,73,88,120,89,59,Mega Launcher,Mega Launcher,,
Helioptile,Electric,Normal,0694,289,44,38,33,61,43,70,"Dry Skin, Sand Veil, Solar Power",Dry Skin,Sand Veil,Solar Power
Heliolisk,Electric,Normal,0695,481,62,55,52,109,94,109,"Dry Skin, Sand Veil, Solar Power",Dry Skin,Sand Veil,Solar Power
Tyrunt,Rock,Dragon,0696,362,58,89,77,45,45,48,"Strong Jaw, Sturdy",Strong Jaw,,Sturdy
Tyrantrum,Rock,Dragon,0697,521,82,121,119,69,59,71,"Strong Jaw, Rock Head",Strong Jaw,,Rock Head
Amaura,Rock,Ice,0698,362,77,59,50,67,63,46,"Refrigerate, Snow Warning",Refrigerate,,Snow Warning
Aurorus,Rock,Ice,0699,521,123,77,72,99,92,58,"Refrigerate, Snow Warning",Refrigerate,,Snow Warning
Sylveon,Fairy,,0700,525,95,65,65,110,130,60,"Cute Charm, Pixilate",Cute Charm,,Pixilate
Hawlucha,Fighting,Flying,0701,500,78,92,75,74,63,118,"Limber, Unburden, Mold Breaker",Limber,Unburden,Mold Breaker
Dedenne,Electric,Fairy,0702,431,67,58,57,81,67,101,"Cheek Pouch, Pickup, Plus",Cheek Pouch,Pickup,Plus
Carbink,Rock,Fairy,0703,500,50,50,150,50,150,50,"Clear Body, Sturdy",Clear Body,,Sturdy
Goomy,Dragon,,0704,300,45,50,35,55,75,40,"Sap Sipper, Hydration, Gooey",Sap Sipper,Hydration,Gooey
Sliggoo,Dragon,,0705,452,68,75,53,83,113,60,"Sap Sipper, Hydration, Gooey",Sap Sipper,Hydration,Gooey
Sliggoo Hisuian Sliggoo,Steel,Dragon,0705,452,58,75,83,83,113,40,"Sap Sipper, Shell Armor, Gooey",Sap Sipper,Shell Armor,Gooey
Goodra,Dragon,,0706,600,90,100,70,110,150,80,"Sap Sipper, Hydration, Gooey",Sap Sipper,Hydration,Gooey
Goodra Hisuian Goodra,Steel,Dragon,0706,600,80,100,100,110,150,60,"Sap Sipper, Shell Armor, Gooey",Sap Sipper,Shell Armor,Gooey
Klefki,Steel,Fairy,0707,470,57,80,91,80,87,75,"Prankster, Magician",Prankster,,Magician
Phantump,Ghost,Grass,0708,309,43,70,48,50,60,38,"Natural Cure, Frisk, Harvest",Natural Cure,Frisk,Harvest
Trevenant,Ghost,Grass,0709,474,85,110,76,65,82,56,"Natural Cure, Frisk, Harvest",Natural Cure,Frisk,Harvest
Pumpkaboo Average Size,Ghost,Grass,0710,335,49,66,70,44,55,51,"Pickup, Frisk, Insomnia",Pickup,Frisk,Insomnia
Pumpkaboo Small Size,Ghost,Grass,0710,335,44,66,70,44,55,56,"Pickup, Frisk, Insomnia",Pickup,Frisk,Insomnia
Pumpkaboo Large Size,Ghost,Grass,0710,335,54,66,70,44,55,46,"Pickup, Frisk, Insomnia",Pickup,Frisk,Insomnia
Pumpkaboo Super Size,Ghost,Grass,0710,335,59,66,70,44,55,41,"Pickup, Frisk, Insomnia",Pickup,Frisk,Insomnia
Gourgeist Average Size,Ghost,Grass,0711,494,65,90,122,58,75,84,"Pickup, Frisk, Insomnia",Pickup,Frisk,Insomnia
Gourgeist Small Size,Ghost,Grass,0711,494,55,85,122,58,75,99,"Pickup, Frisk, Insomnia",Pickup,Frisk,Insomnia
Gourgeist Large Size,Ghost,Grass,0711,494,75,95,122,58,75,69,"Pickup, Frisk, Insomnia",Pickup,Frisk,Insomnia
Gourgeist Super Size,Ghost,Grass,0711,494,85,100,122,58,75,54,"Pickup, Frisk, Insomnia",Pickup,Frisk,Insomnia
Bergmite,Ice,,0712,304,55,69,85,32,35,28,"Own Tempo, Ice Body, Sturdy",Own Tempo,Ice Body,Sturdy
Avalugg,Ice,,0713,514,95,117,184,44,46,28,"Own Tempo, Ice Body, Sturdy",Own Tempo,Ice Body,Sturdy
Avalugg Hisuian Avalugg,Ice,Rock,0713,514,95,127,184,34,36,38,"Strong Jaw, Ice Body, Sturdy",Strong Jaw,Ice Body,Sturdy
Noibat,Flying,Dragon,0714,245,40,30,35,45,40,55,"Frisk, Infiltrator, Telepathy",Frisk,Infiltrator,Telepathy
Noivern,Flying,Dragon,0715,535,85,70,80,97,80,123,"Frisk, Infiltrator, Telepathy",Frisk,Infiltrator,Telepathy
Xerneas,Fairy,,0716,680,126,131,95,131,98,99,Fairy Aura,Fairy Aura,,
Yveltal,Dark,Flying,0717,680,126,131,95,131,98,99,Dark Aura,Dark Aura,,
Zygarde 50% Forme,Dragon,Ground,0718,600,108,100,121,81,95,95,"Aura Break, Power Construct",Aura Break,,Power Construct
Zygarde 10% Forme,Dragon,Ground,0718,486,54,100,71,61,85,115,"Aura Break, Power Construct",Aura Break,,Power Construct
Zygarde Complete Forme,Dragon,Ground,0718,708,216,100,121,91,95,85,Power Construct,Power Construct,,
Diancie,Rock,Fairy,0719,600,50,100,150,100,150,50,Clear Body,Clear Body,,
Diancie Mega Diancie,Rock,Fairy,0719,700,50,160,110,160,110,110,Magic Bounce,Magic Bounce,,
Hoopa Hoopa Confined,Psychic,Ghost,0720,600,80,110,60,150,130,70,Magician,Magician,,
Hoopa Hoopa Unbound,Psychic,Dark,0720,680,80,160,60,170,130,80,Magician,Magician,,
Volcanion,Fire,Water,0721,600,80,110,120,130,90,70,Water Absorb,Water Absorb,,
Rowlet,Grass,Flying,0722,320,68,55,55,50,50,42,"Overgrow, Long Reach",Overgrow,,Long Reach
Dartrix,Grass,Flying,0723,420,78,75,75,70,70,52,"Overgrow, Long Reach",Overgrow,,Long Reach
Decidueye,Grass,Ghost,0724,530,78,107,75,100,100,70,"Overgrow, Long Reach",Overgrow,,Long Reach
Decidueye Hisuian Decidueye,Grass,Fighting,0724,530,88,112,80,95,95,60,"Overgrow, Scrappy",Overgrow,,Scrappy
Litten,Fire,,0725,320,45,65,40,60,40,70,"Blaze, Intimidate",Blaze,,Intimidate
Torracat,Fire,,0726,420,65,85,50,80,50,90,"Blaze, Intimidate",Blaze,,Intimidate
Incineroar,Fire,Dark,0727,530,95,115,90,80,90,60,"Blaze, Intimidate",Blaze,,Intimidate
Popplio,Water,,0728,320,50,54,54,66,56,40,"Torrent, Liquid Voice",Torrent,,Liquid Voice
Brionne,Water,,0729,420,60,69,69,91,81,50,"Torrent, Liquid Voice",Torrent,,Liquid Voice
Primarina,Water,Fairy,0730,530,80,74,74,126,116,60,"Torrent, Liquid Voice",Torrent,,Liquid Voice
Pikipek,Normal,Flying,0731,265,35,75,30,30,30,65,"Keen Eye, Skill Link, Pickup",Keen Eye,Skill Link,Pickup
Trumbeak,Normal,Flying,0732,355,55,85,50,40,50,75,"Keen Eye, Skill Link, Pickup",Keen Eye,Skill Link,Pickup
Toucannon,Normal,Flying,0733,485,80,120,75,75,75,60,"Keen Eye, Skill Link, Sheer Force",Keen Eye,Skill Link,Sheer Force
Yungoos,Normal,,0734,253,48,70,30,30,30,45,"Stakeout, Strong Jaw, Adaptability",Stakeout,Strong Jaw,Adaptability
Gumshoos,Normal,,0735,418,88,110,60,55,60,45,"Stakeout, Strong Jaw, Adaptability",Stakeout,Strong Jaw,Adaptability
Grubbin,Bug,,0736,300,47,62,45,55,45,46,Swarm,Swarm,,
Charjabug,Bug,Electric,0737,400,57,82,95,55,75,36,Battery,Battery,,
Vikavolt,Bug,Electric,0738,500,77,70,90,145,75,43,Levitate,Levitate,,
Crabrawler,Fighting,,0739,338,47,82,57,42,47,63,"Hyper Cutter, Iron Fist, Anger Point",Hyper Cutter,Iron Fist,Anger Point
Crabominable,Fighting,Ice,0740,478,97,132,77,62,67,43,"Hyper Cutter, Iron Fist, Anger Point",Hyper Cutter,Iron Fist,Anger Point
Oricorio Baile Style,Fire,Flying,0741,476,75,70,70,98,70,93,Dancer,Dancer,,
Oricorio Pom-Pom Style,Electric,Flying,0741,476,75,70,70,98,70,93,Dancer,Dancer,,
Oricorio Pa'u Style,Psychic,Flying,0741,476,75,70,70,98,70,93,Dancer,Dancer,,
Oricorio Sensu Style,Ghost,Flying,0741,476,75,70,70,98,70,93,Dancer,Dancer,,
Cutiefly,Bug,Fairy,0742,304,40,45,40,55,40,84,"Honey Gather, Shield Dust, Sweet Veil",Honey Gather,Shield Dust,Sweet Veil
Ribombee,Bug,Fairy,0743,464,60,55,60,95,70,124,"Honey Gather, Shield Dust, Sweet Veil",Honey Gather,Shield Dust,Sweet Veil
Rockruff,Rock,,0744,280,45,65,40,30,40,60,"Keen Eye, Vital Spirit, Steadfast",Keen Eye,Vital Spirit,Steadfast
Rockruff Own Tempo Rockruff,Rock,,0744,280,45,65,40,30,40,60,Own Tempo,Own Tempo,,
Lycanroc Midday Form,Rock,,0745,487,75,115,65,55,65,112,"Keen Eye, Sand Rush, Steadfast",Keen Eye,Sand Rush,Steadfast
Lycanroc Midnight Form,Rock,,0745,487,85,115,75,55,75,82,"Keen Eye, Vital Spirit, No Guard",Keen Eye,Vital Spirit,No Guard
Lycanroc Dusk Form,Rock,,0745,487,75,117,65,55,65,110,Tough Claws,Tough Claws,,
Wishiwashi Solo Form,Water,,0746,175,45,20,20,25,25,40,Schooling,Schooling,,
Wishiwashi School Form,Water,,0746,620,45,140,130,140,135,30,Schooling,Schooling,,
Mareanie,Poison,Water,0747,305,50,53,62,43,52,45,"Merciless, Limber, Regenerator",Merciless,Limber,Regenerator
Toxapex,Poison,Water,0748,495,50,63,152,53,142,35,"Merciless, Limber, Regenerator",Merciless,Limber,Regenerator
Mudbray,Ground,,0749,385,70,100,70,45,55,45,"Own Tempo, Stamina, Inner Focus",Own Tempo,Stamina,Inner Focus
